"Station Name","POINT ATKINSON"
"Province","BRITISH COLUMBIA"
"Latitude","49.33"
"Longitude","-123.26"
"Elevation","35.00"
"Climate Identifier","1106200"
"WMO Identifier","71037"
"TC Identifier","WSB"

"Legend"
"[Empty]","No Data Available"
"M","Missing"
"E","Estimated"
"A","Accumulated"
"C","Precipitation Occurred; Amount Uncertain"
"L","Precipitation May or May Not Have Occurred"
"F","Accumulated and Estimated"
"N","Temperature Missing but Known to be > 0"
"Y","Temperature Missing but Known to be < 0"
"S","More Than One Occurrence"
"T","Trace"
"*","Data for this day has undergone only preliminary quality checking"
"**","Partner data that is not subject to review by the National Climate Archives."

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1997-01-01","1997","01","01","","","","","","","","","","","","3.8","",".0","","3.8","","","M","","","",""
"1997-01-02","1997","01","02","","","","","","","","","","","","5.4","",".0","","5.4","","","M","","","",""
"1997-01-03","1997","01","03","","","","","","","","","","","","1.2","",".0","","1.2","","","M","","","",""
"1997-01-04","1997","01","04","","","","","","","","","","","","4.2","",".0","","4.2","","","M","","","",""
"1997-01-05","1997","01","05","","","","","","","","","","","","6.6","",".0","","6.6","","0","","","","",""
"1997-01-06","1997","01","06","","","","","","","","","","","","29.0","",".0","","29.0","","0","","","","",""
"1997-01-07","1997","01","07","","","","","","","","","","","","1.8","",".0","","1.8","","0","","","","",""
"1997-01-08","1997","01","08","","","","","","","","","","","","15.4","",".0","","15.4","","0","","","","",""
"1997-01-09","1997","01","09","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-01-10","1997","01","10","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-01-11","1997","01","11","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-01-12","1997","01","12","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-01-13","1997","01","13","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-01-14","1997","01","14","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-01-15","1997","01","15","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-01-16","1997","01","16","","","","","","","","","","","","34.8","",".0","","34.8","","0","","","","",""
"1997-01-17","1997","01","17","","","","","","","","","","","","4.6","",".0","","4.6","","0","","","","",""
"1997-01-18","1997","01","18","","","","","","","","","","","","58.4","",".0","","58.4","","0","","","","",""
"1997-01-19","1997","01","19","","","","","","","","","","","","28.6","",".0","","28.6","","0","","","","",""
"1997-01-20","1997","01","20","","","","","","","","","","","","1.0","",".0","","1.0","","0","","","","",""
"1997-01-21","1997","01","21","","","","","","","","","","","","12.4","",".0","","12.4","","0","","","","",""
"1997-01-22","1997","01","22","","","","","","","","","","","","0.4","",".0","","0.4","","0","","","","",""
"1997-01-23","1997","01","23","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-01-24","1997","01","24","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-01-25","1997","01","25","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-01-26","1997","01","26","","","","","","","","","","","","0.0","T",".0","","0.0","T","0","","","","",""
"1997-01-27","1997","01","27","","","","","","","","","","","","14.4","",".0","T","14.4","","0","","","","",""
"1997-01-28","1997","01","28","","","","","","","","","","","","8.8","",".0","","8.8","","0","","","","",""
"1997-01-29","1997","01","29","","","","","","","","","","","","39.0","",".0","","39.0","","0","","","","",""
"1997-01-30","1997","01","30","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
